# time;scaled;deconvolved;regularized;uncertainty(k=1)
0.000000000000000000e+00;-5.510155956091364715e+03;-6.933891898302129448e+03;-6.362766854813147802e+03;1.586328834752750990e+05
2.000000000000000125e-09;-9.125441855535527793e+03;-1.096329325929447077e+04;-1.001948902995317076e+04;1.586335361840349506e+05
4.000000000000000249e-09;-5.148613483449094019e+03;-6.096021739117918514e+03;-6.019372221407858888e+03;1.586340599654771504e+05
6.000000000000000787e-09;-2.979441943782594990e+03;-3.339806242131220642e+03;-4.044247095232538868e+03;1.586342820615175006e+05
8.000000000000000498e-09;-2.979441943782594990e+03;-2.977362179196163652e+03;-2.207243457812131965e+03;1.586338821699254622e+05
1.000000000000000021e-08;6.358439556615695665e+02;1.472010566947298003e+03;5.806196196093660546e+02;1.586330505790319585e+05
1.200000000000000157e-08;6.358439556615695665e+02;1.653531156457203906e+03;2.467875746480756789e+03;1.586326889361234789e+05
1.400000000000000129e-08;3.889587382463464110e+03;5.411195721765369854e+03;3.702971061160686531e+03;1.586330881423232495e+05
1.600000000000000100e-08;-3.340970533727011571e+03;-2.911973791386320954e+03;-1.383296358567386051e+03;1.586332640039569815e+05
1.800000000000000236e-08;2.743153657171529289e+02;1.428625760842136515e+03;6.618690451006405056e+02;1.586328312739665853e+05
2.000000000000000042e-08;-4.425556303560260858e+03;-3.789962031828355975e+03;-4.244472641561413184e+03;1.586326283829275344e+05
2.200000000000000178e-08;-9.125441855535527793e+03;-8.673769676867348608e+03;-6.271526993856838089e+03;1.586329240129631653e+05
2.400000000000000315e-08;3.166544085272484608e+03;5.968522024294201401e+03;4.298875193664804101e+03;1.586327246152295847e+05
2.600000000000000121e-08;-8.721322422726353807e+01;2.271603992267861031e+03;1.351545638513547601e+03;1.586317792617316591e+05
2.800000000000000257e-08;-5.148613483449094019e+03;-3.500734437298335706e+03;-2.169095526877179509e+03;1.586311744624583807e+05
3.000000000000000394e-08;-4.425556303560260858e+03;-2.883347559948393609e+03;-3.603009703272924526e+03;1.586317664973253850e+05
3.200000000000000199e-08;-3.702499123671428151e+03;-2.425382132663573429e+03;-6.320589589870506870e+02;1.586323808659348288e+05
