# time;scaled;deconvolved;regularized;uncertainty(k=1)
0.000000000000000000e+00;2.009389190666906416e+03;-2.784282233159756743e+03;-1.955326558135333471e+03;8.535881119781931920e+04
2.000000000000000125e-09;8.402775182637480611e+03;6.004344479061140191e+03;5.496784229617101118e+03;8.534833041909293388e+04
4.000000000000000249e-09;6.910916921727096451e+03;7.021595472422137391e+03;6.896587446383899078e+03;8.533311377326949150e+04
6.000000000000000787e-09;7.763368387323174829e+03;9.736117020431614947e+03;1.039146509018389042e+04;8.531833383712291834e+04
8.000000000000000498e-09;1.351748397621393633e+04;1.973082925611478277e+04;1.889627816834184341e+04;8.530645276113077125e+04
1.000000000000000021e-08;9.894497051313363045e+03;1.756827476735124947e+04;1.717411666833789786e+04;8.529576846035462222e+04
1.200000000000000157e-08;5.206013990534946061e+03;1.140262001630276973e+04;1.192070081386662969e+04;8.528348807688982924e+04
1.400000000000000129e-08;6.484691188929060445e+03;1.164630039868003223e+04;1.167803198615286965e+04;8.526988805193926964e+04
1.600000000000000100e-08;8.615819852919248660e+03;1.285449387568328530e+04;1.290918655077868607e+04;8.525785944234655472e+04
1.800000000000000236e-08;9.468271318515327948e+03;1.308261910868746054e+04;1.248451023622628418e+04;8.524965467805783555e+04
2.000000000000000042e-08;3.714292121859059534e+03;4.941474898604632472e+03;5.159712609954382060e+03;8.524493323053170752e+04
2.200000000000000178e-08;1.583163457868869045e+03;6.588527245363802649e+02;1.214371017535100691e+03;8.524206116433338320e+04
2.400000000000000315e-08;4.353562524938867682e+03;3.589157496740809165e+03;3.574742317372234993e+03;8.524014319862495176e+04
2.600000000000000121e-08;6.271646518647287849e+03;6.423847765442449600e+03;6.332258986598579213e+03;8.523846471503893554e+04
2.800000000000000257e-08;6.271646518647287849e+03;7.265392599702813641e+03;6.794150609841570258e+03;8.523585090905829566e+04
3.000000000000000394e-08;1.583163457868869045e+03;1.500212813730351627e+03;1.876052248431369662e+03;8.523112849544583878e+04
3.200000000000000199e-08;3.927336792140832586e+03;3.160150444646133110e+03;3.570238902724348009e+03;8.522423722609576362e+04
3.400000000000000005e-08;7.550323717041402233e+03;7.654655544056091458e+03;7.142363293005153537e+03;8.521665828090584546e+04
3.600000000000000472e-08;9.042045585717289214e+03;8.678716545036179014e+03;9.178843929595546797e+03;8.521045256852191233e+04
3.800000000000000278e-08;1.266503251061786250e+04;1.348589934148604516e+04;1.274790078738087504e+04;8.520654795483886846e+04
4.000000000000000084e-08;1.053390384662766883e+04;1.084938571058202069e+04;1.118163367542752530e+04;8.520357869226159528e+04
4.200000000000000551e-08;8.615819852919248660e+03;8.946928198822075501e+03;8.180465375520289854e+03;8.519850951310033270e+04
4.400000000000000357e-08;2.009389190666906416e+03;-2.434191318145021796e+02;9.055111426931107417e+02;8.518919352391759458e+04
4.600000000000000162e-08;7.337142654525135185e+03;5.261607048528967425e+03;5.178982465555192903e+03;8.517625818111280387e+04
4.800000000000000630e-08;1.117317424970747743e+04;1.019646130270446884e+04;9.857253327280108351e+03;8.516233401158856577e+04
5.000000000000000435e-08;8.189594120121213564e+03;6.900964300653431565e+03;6.056411749601365045e+03;8.515181539270619396e+04
5.200000000000000241e-08;1.583163457868869045e+03;-3.279841553271457087e+03;-1.761575827167602483e+03;8.514921850463601004e+04
5.400000000000000047e-08;7.763368387323174829e+03;3.495260109668946825e+03;2.488147485735302325e+03;8.515482632028807711e+04
5.600000000000000514e-08;3.714292121859059534e+03;-1.529135793101275340e+03;-7.989459553806227632e+02;8.516267789230206108e+04
5.800000000000000320e-08;6.484691188929060445e+03;2.194244728189427406e+03;1.551650545782758854e+03;8.516432895207517140e+04
6.000000000000000787e-08;1.796208128150639823e+03;-2.178320893608499318e+03;-1.428694296730856877e+03;8.515555738109743106e+04
6.199999999999999931e-08;6.910916921727096451e+03;5.443164120126515627e+03;5.297096739070199874e+03;8.514030315688454721e+04
6.400000000000000399e-08;6.910916921727096451e+03;8.971459408127848292e+03;8.708518622040312039e+03;8.512782930126416613e+04
6.600000000000000866e-08;7.124097984243362589e+03;1.151335432382223371e+04;1.137389387961308421e+04;8.512418024308361055e+04
6.800000000000000010e-08;2.648659593746716382e+03;8.522293839847014169e+03;8.151347772144305054e+03;8.512643652829843631e+04
7.000000000000000477e-08;9.131883618193708685e+01;4.867092799832491437e+03;5.671834508666885085e+03;8.512615088689613913e+04
7.200000000000000945e-08;2.435614923464945605e+03;7.792025640594948527e+03;7.060801051535163424e+03;8.511794128711450321e+04
7.400000000000000089e-08;1.156937725070829856e+03;4.487679633416046272e+03;5.268284867750931880e+03;8.510461730634429841e+04
7.600000000000000556e-08;6.058465456131021710e+03;9.292062921877892222e+03;8.666557239010027843e+03;8.509367063661865541e+04
7.800000000000001023e-08;4.779788257736907326e+03;6.625325584375910694e+03;6.861682521713752067e+03;8.508847184576485597e+04
8.000000000000000167e-08;6.484691188929060445e+03;7.599873369950015331e+03;7.760269064097637056e+03;8.508481397761375410e+04
8.200000000000000635e-08;8.402775182637480611e+03;1.018398754630782059e+04;9.852982266313892978e+03;8.507619999437799561e+04
8.400000000000001102e-08;6.058465456131021710e+03;7.935066954886308849e+03;7.932819490681024945e+03;8.506139086462468549e+04
8.600000000000000246e-08;4.566743587455134730e+03;6.317675431100273272e+03;6.517949982017889852e+03;8.504597677305940306e+04
8.800000000000000714e-08;5.419195053051213108e+03;7.596630411989259301e+03;7.819711931395897409e+03;8.503639064793437137e+04
9.000000000000001181e-08;8.829000915435515708e+03;1.216119831492681988e+04;1.184526863413606770e+04;8.503369668919770629e+04
9.200000000000000325e-08;7.763368387323174829e+03;1.126791233619832201e+04;1.114559891969774617e+04;8.503380785175514757e+04
9.400000000000000792e-08;7.763368387323174829e+03;1.053705332501966041e+04;1.064841088594833855e+04;8.503373312194443133e+04
9.600000000000001260e-08;5.632239723332982066e+03;7.806529131874209270e+03;7.308344730547745712e+03;8.503407549265553826e+04
9.800000000000000404e-08;2.648659593746716382e+03;2.392025809247629240e+03;3.495902443059836969e+03;8.503481922414644214e+04
1.000000000000000087e-07;7.976549449839440967e+03;8.740224146144988481e+03;7.953950397951353807e+03;8.503307997840340249e+04
1.020000000000000001e-07;6.271646518647287849e+03;6.655304502591084201e+03;7.204022569128545001e+03;8.502594385526176484e+04
1.040000000000000048e-07;9.255226648233554442e+03;1.055349109955964377e+04;9.886019266151008196e+03;8.501477870386013819e+04
1.060000000000000095e-07;4.992969320253173464e+03;5.379785345692711417e+03;5.747694483938918893e+03;8.500519587687608146e+04
1.080000000000000009e-07;7.337142654525135185e+03;6.931391582472949267e+03;7.036832599396876503e+03;8.500201372070435900e+04
1.100000000000000056e-07;6.271646518647287849e+03;5.416380145117756911e+03;4.403532417991256807e+03;8.500473352376894036e+04
1.120000000000000103e-07;-1.187358362212176871e+03;-6.742274958956928458e+03;-5.415153278806247727e+03;8.500761977851616393e+04
1.140000000000000017e-07;6.484691188929060445e+03;-2.643949871942750178e+02;-2.111523434820701652e+02;8.500461127392586786e+04
1.160000000000000064e-07;9.255226648233554442e+03;3.156244356956799038e+03;2.042393653741513845e+03;8.499463474995411525e+04
1.180000000000000111e-07;2.861840656262982975e+03;-5.599132643981604815e+03;-4.596857886145124212e+03;8.498159055914207420e+04
1.200000000000000157e-07;6.484691188929060445e+03;-9.711358494012383744e+02;-1.026317691859614570e+03;8.497011233788433310e+04
1.220000000000000072e-07;7.763368387323174829e+03;3.076539038968622208e+03;3.097593400331156317e+03;8.496399453506950522e+04
1.239999999999999986e-07;8.829000915435515708e+03;7.651190634735336062e+03;7.280100657912611496e+03;8.496582842503474967e+04
1.260000000000000165e-07;5.845420785849248205e+03;7.304573218726261985e+03;7.560553482727556002e+03;8.497469816263408575e+04
1.280000000000000080e-07;8.189594120121213564e+03;1.227788047597056902e+04;1.226258995498641161e+04;8.498451624853261455e+04
1.299999999999999994e-07;8.402775182637480611e+03;1.456206711721664760e+04;1.404452489427314322e+04;8.498671389129298041e+04
1.320000000000000173e-07;7.124097984243362589e+03;1.227241209272539709e+04;1.256871719532203861e+04;8.497728603849360661e+04
1.340000000000000088e-07;7.763368387323174829e+03;1.139922136890003458e+04;1.105617138775892272e+04;8.496180854348540015e+04
1.360000000000000002e-07;7.763368387323174829e+03;8.091494276787329909e+03;8.506150515750690829e+03;8.495123032303797663e+04
1.380000000000000181e-07;9.681452381031594996e+03;7.650365894911287796e+03;7.268340633321611676e+03;8.495124960512369580e+04
1.400000000000000095e-07;9.681452381031594996e+03;4.839565752416849136e+03;5.492519192836887669e+03;8.495655206634599017e+04
1.420000000000000010e-07;1.245185144810159181e+04;7.678439445750089362e+03;6.811307837871951961e+03;8.495640518190435250e+04
1.440000000000000189e-07;6.058465456131021710e+03;-3.084491948934737593e+01;5.650234814205323346e+02;8.494595958815841004e+04
1.460000000000000103e-07;6.697872251445327493e+03;1.174432482660165988e+03;1.483396574860380497e+03;8.493155582500963646e+04
1.480000000000000018e-07;8.402775182637480611e+03;5.614748182895360515e+03;5.211410325867474057e+03;8.492352108024197514e+04
1.500000000000000197e-07;5.419195053051213108e+03;4.166557954700896516e+03;4.014757928584818728e+03;8.492436213448613125e+04
1.520000000000000111e-07;2.648659593746716382e+03;1.553203125915955980e+03;1.874650949677277822e+03;8.492629847071887343e+04
1.540000000000000026e-07;4.140517854657098724e+03;3.256665164284524508e+03;3.384286657386343450e+03;8.492021189814349054e+04
1.560000000000000205e-07;8.189594120121213564e+03;7.654659563375869766e+03;7.618618125047768444e+03;8.490592586326185847e+04
1.580000000000000119e-07;1.010767811382963009e+04;9.647226486503059277e+03;9.065365062098891940e+03;8.489184465651460050e+04
1.600000000000000033e-07;8.402775182637480611e+03;6.030673412712873869e+03;6.686426105697057210e+03;8.488565781325347780e+04
1.620000000000000213e-07;1.223880677781982195e+04;9.917903123208685429e+03;9.319577966455617570e+03;8.488733346361268195e+04
1.640000000000000127e-07;8.189594120121213564e+03;4.796372206777683459e+03;4.872137774410133716e+03;8.489148676911236544e+04
1.660000000000000041e-07;7.763368387323174829e+03;3.163568205657182261e+03;3.755484700121451624e+03;8.489513176671676047e+04
1.680000000000000220e-07;9.681452381031594996e+03;6.201516750318463892e+03;5.261264747413108125e+03;8.489880583007121459e+04
1.700000000000000135e-07;2.861840656262982975e+03;-2.491978308009449393e+03;-1.903352323851315305e+03;8.490139076527910947e+04
1.720000000000000049e-07;4.140517854657098724e+03;-2.352058436516439542e+03;-2.103723574573639780e+03;8.489828698519054160e+04
1.740000000000000228e-07;5.845420785849248205e+03;-6.522645566947758198e+02;-1.055495420644059777e+03;8.488669966726236453e+04
1.760000000000000143e-07;3.927336792140832586e+03;-3.975856191573198885e+03;-3.892299712869804353e+03;8.487168561079005303e+04
1.780000000000000057e-07;3.501111059342793396e+03;-5.645553130926448830e+03;-5.223770870365784504e+03;8.486315244417478971e+04
1.800000000000000236e-07;6.271646518647287849e+03;-2.223176544378278777e+03;-2.767105349702993408e+03;8.486652256593873608e+04
1.820000000000000151e-07;1.796208128150639823e+03;-6.937209531276720554e+03;-6.485357598961330950e+03;8.487701060938989394e+04
1.840000000000000065e-07;6.271646518647287849e+03;-1.069367932894034311e+03;-5.169991822816664353e+02;8.488359808487277769e+04
1.860000000000000244e-07;9.681452381031594996e+03;6.778347554215347373e+03;5.507565058196778409e+03;8.487941680330393137e+04
1.880000000000000158e-07;5.632239723332982066e+03;3.408424444619566657e+03;4.538233930833637714e+03;8.486736625907727284e+04
1.900000000000000073e-07;1.032072278411140360e+04;1.130954273620154709e+04;1.034772133930434939e+04;8.485544906890709535e+04
1.920000000000000252e-07;8.402775182637480611e+03;9.767619658679759596e+03;1.032306674196326640e+04;8.484902771987541928e+04
1.940000000000000166e-07;9.468271318515327948e+03;1.132282838762598294e+04;1.011740942827140680e+04;8.484918761081190314e+04
1.960000000000000081e-07;1.369982395352602452e+03;-7.238389358023414388e+02;3.820155647115898319e+02;8.485527838910675200e+04
1.979999999999999995e-07;4.566743587455134730e+03;2.809707104340777732e+02;-2.597641463803010993e+02;8.486556221431725135e+04
2.000000000000000174e-07;7.307119922727923722e+02;-6.611918411451567408e+03;-6.192916072159132455e+03;8.487555526839150116e+04
2.020000000000000089e-07;3.288066389061020345e+03;-5.996201442732417490e+03;-5.692368538748735773e+03;8.487862767674343195e+04
2.040000000000000003e-07;4.566743587455134730e+03;-4.070529677765706310e+03;-4.667270022400392918e+03;8.487134989925408445e+04
2.060000000000000182e-07;7.307119922727923722e+02;-8.351459666707232827e+03;-7.780808851477486314e+03;8.485847213776817080e+04
2.080000000000000096e-07;2.648659593746716382e+03;-4.628582510098043713e+03;-4.595990089857427847e+03;8.484992243813523964e+04
2.100000000000000011e-07;3.501111059342793396e+03;-1.086503619039722253e+03;-1.237201670193200698e+03;8.485107724262807460e+04
2.120000000000000190e-07;5.206013990534946061e+03;2.904502445471025567e+03;3.241735119104174373e+03;8.485695978585761623e+04
2.140000000000000104e-07;8.615819852919248660e+03;9.378670135943382775e+03;8.634973472567337012e+03;8.485750356138274947e+04
2.160000000000000019e-07;7.124097984243362589e+03;8.262641037499095546e+03;8.799543113579951751e+03;8.484876412295304181e+04
2.180000000000000198e-07;1.117317424970747743e+04;1.330938768392300881e+04;1.277537054919082584e+04;8.483762913141310855e+04
2.200000000000000112e-07;9.681452381031594996e+03;1.120634809129274799e+04;1.126065142644080333e+04;8.483357917502598139e+04
2.220000000000000027e-07;9.894497051313363045e+03;1.021504040302107751e+04;1.028924808875005874e+04;8.483722487114198157e+04
2.240000000000000206e-07;9.894497051313363045e+03;9.494425478998338804e+03;9.289629243388393661e+03;8.484000528663127625e+04
2.260000000000000120e-07;7.337142654525135185e+03;5.551768686569208512e+03;5.751951448662002804e+03;8.483463555984561390e+04
