# time;scaled;deconvolved;regularized;uncertainty(k=1)
0.000000000000000000e+00;4.661368094418992769e+03;6.648718541459529661e+03;4.523056114997714758e+03;1.727200989540314476e+05
2.000000000000000125e-09;-5.361817207735550255e+03;-8.684373901444661897e+03;-6.961393771560338791e+03;1.728255066145266173e+05
4.000000000000000249e-09;2.066718676389112659e+02;5.212536196791684233e+03;5.339875794840569142e+03;1.727309311297427339e+05
6.000000000000000787e-09;5.403579881750234563e+03;1.345652070497820569e+04;1.196074161837075371e+04;1.725668133169886132e+05
8.000000000000000498e-09;2.066718676389112659e+02;5.090449079590093788e+03;5.473858938338642474e+03;1.725205280609783949e+05
1.000000000000000021e-08;2.066718676389112659e+02;6.045632847552130443e+03;8.107260840569972061e+03;1.726610631770836189e+05
1.200000000000000157e-08;1.616945213883355063e+04;2.990510968594969017e+04;2.644171128325426253e+04;1.728035346137422312e+05
1.400000000000000129e-08;3.547575245824586545e+03;4.225993292726576328e+03;5.309245778380311094e+03;1.727728791085646371e+05
1.600000000000000100e-08;5.777777613045450380e+02;1.466875075126998127e+03;2.809117858007201448e+03;1.726356063919094449e+05
1.800000000000000236e-08;5.403579881750234563e+03;9.640628505581116769e+03;8.887201388625660911e+03;1.725677917342304136e+05
2.000000000000000042e-08;5.775160943013385804e+03;1.050654990669584367e+04;9.821492129243561067e+03;1.726453927324559772e+05
2.200000000000000178e-08;-1.644340260267096312e+02;1.201783309814054519e+03;2.715613628561143287e+03;1.727374270393727929e+05
2.400000000000000315e-08;7.631165578939034276e+03;1.520793860117945587e+04;1.379757505277730706e+04;1.727158935714431573e+05
2.600000000000000121e-08;1.320464716233317404e+03;2.409842468624731282e+03;2.875602198898646748e+03;1.726165947521283815e+05
2.800000000000000257e-08;6.517372730344640331e+03;1.162952515620391932e+04;1.338532970626928909e+04;1.725760287934551598e+05
3.000000000000000394e-08;1.802545677475919729e+04;2.411997048167663161e+04;1.991151169929353637e+04;1.726546333888600348e+05
3.200000000000000199e-08;3.176469352158965648e+03;-3.620362005486560975e+03;2.518707168768742122e+01;1.727614313806490100e+05
3.400000000000000005e-08;8.744958427533427312e+03;5.024475747106072959e+03;2.285418313629503245e+03;1.727460726267534483e+05
3.600000000000000472e-08;-7.217821843661198727e+03;-1.935048095289792764e+04;-1.746598444434296107e+04;1.726340220200487820e+05
3.800000000000000278e-08;-9.073826479586847199e+03;-1.458804542870633304e+04;-1.345942101640557121e+04;1.725800742200786481e+05
4.000000000000000084e-08;-3.876918465475523590e+03;-8.520879110777751748e+02;-2.493767373929731548e+03;1.726522030049768509e+05
4.200000000000000551e-08;-4.619130252806778117e+03;1.851629963713698089e+03;4.737854633982061387e+03;1.727407918031836161e+05
4.400000000000000357e-08;1.765435088109357821e+04;3.678530702437460423e+04;3.268932496618013829e+04;1.727063789098669367e+05
4.600000000000000162e-08;7.631165578939034276e+03;1.281836685708980258e+04;1.289496597594302330e+04;1.725993154188333720e+05
4.800000000000000630e-08;-1.649332768286736837e+03;-3.204290468762163073e+03;-1.617486187329050153e+03;1.725537533592042455e+05
5.000000000000000435e-08;-1.278226874621102979e+03;-2.653570238954620436e+03;-2.272736355569912121e+03;1.726269527288537356e+05
5.200000000000000241e-08;5.032473988084613666e+03;7.623663187781931811e+03;7.457327034483663738e+03;1.727193456381016877e+05
5.400000000000000047e-08;8.373377366270287894e+03;1.037942537865566737e+04;9.619191870886716060e+03;1.727127884077127092e+05
5.600000000000000514e-08;6.146266836679006701e+03;5.880279918138170615e+03;5.726250598276499659e+03;1.726207902995572367e+05
5.800000000000000320e-08;5.777777613045450380e+02;-1.816743421942228451e+03;-5.334389428794384003e+02;1.725849157558155130e+05
6.000000000000000787e-08;6.888478624010261228e+03;1.202597786732797977e+04;1.165144425673247315e+04;1.726758686049127136e+05
6.199999999999999931e-08;8.744958427533427312e+03;1.528015846881479956e+04;1.480616624056757610e+04;1.727845015468266211e+05
6.400000000000000399e-08;1.022985716979345489e+04;1.862995944837294519e+04;1.869375049940805184e+04;1.727489543782575056e+05
6.600000000000000866e-08;9.116064321199060942e+03;1.569291862665908411e+04;1.514158400909497868e+04;1.725977468067426817e+05
6.800000000000000010e-08;6.517372730344640331e+03;1.198171326258557383e+04;1.245361185812199255e+04;1.725110460955355375e+05
7.000000000000000477e-08;3.176469352158965648e+03;6.274164069676714462e+03;5.594406413142452948e+03;1.726050336938698310e+05
7.200000000000000945e-08;-2.763125616881130100e+03;-9.727034079965088722e+02;4.155125934767711442e+02;1.727708538351417228e+05
7.400000000000000089e-08;9.488836549701659351e+02;7.049527445497631561e+03;7.328685634153793217e+03;1.728132143595028610e+05
7.600000000000000556e-08;1.097206895712470941e+04;2.313230899064643017e+04;2.232460262605707976e+04;1.726649510491688561e+05
7.800000000000001023e-08;1.319965465431349548e+04;2.281488452760222208e+04;2.249548379527768702e+04;1.725293938785248611e+05
8.000000000000000167e-08;1.691166392616479061e+04;2.660906604469068407e+04;2.692287626817915589e+04;1.725655304389484518e+05
8.200000000000000635e-08;1.616945213883355063e+04;2.166881406254577450e+04;1.951444509301407379e+04;1.727193834099604283e+05
8.400000000000001102e-08;-1.644340260267096312e+02;-2.817767366224521538e+03;-3.494224495038798182e+02;1.728042497284226702e+05
8.600000000000000246e-08;-1.644340260267096312e+02;3.310380968056007987e+03;4.061103286093726638e+03;1.727259283261924284e+05
8.800000000000000714e-08;8.002271472604655173e+03;2.042816128712332647e+04;1.873915730953174352e+04;1.726047635727059387e+05
9.000000000000001181e-08;2.433782397230193055e+03;1.192881823275709939e+04;1.314532367995909590e+04;1.725926573856257019e+05
9.200000000000000325e-08;1.319965465431349548e+04;3.094794131390900657e+04;3.077617718935630182e+04;1.726933591660119710e+05
9.400000000000000792e-08;1.394186644164475001e+04;2.659017810854211348e+04;2.315834823033056455e+04;1.727475212930792768e+05
9.600000000000001260e-08;-3.505812571809902693e+03;-8.088018680182576645e+02;4.183597290137870004e+03;1.726849082640389097e+05
9.800000000000000404e-08;8.002271472604655173e+03;1.916782930634592776e+04;1.552117929545312654e+04;1.725936236172362696e+05
1.000000000000000087e-07;-1.644340260267096312e+02;6.418455953223747201e+03;9.650097073345066747e+03;1.725909274004461768e+05
1.020000000000000001e-07;9.858276108530302736e+03;2.265041536871605786e+04;1.917484515160310548e+04;1.726931050896559609e+05
1.040000000000000048e-07;-1.278226874621102979e+03;3.620649490655574937e+03;6.801188924700079951e+03;1.727647483836743631e+05
1.060000000000000095e-07;8.744958427533427312e+03;2.011819074810220627e+04;1.768265213443053653e+04;1.727103530094480084e+05
