# time;scaled;deconvolved;regularized;uncertainty(k=1)
0.000000000000000000e+00;3.571531473588612243e+03;6.599070280058076605e+03;5.458268782997446579e+03;1.958616925787047949e+05
2.000000000000000125e-09;-1.401650916921406861e+03;1.812301594785356656e+03;2.236855436113371979e+03;1.958606866317633830e+05
4.000000000000000249e-09;1.053711271903920448e+02;3.618452153635735613e+03;3.876538255878200289e+03;1.958598804271310510e+05
6.000000000000000787e-09;5.078553517700411248e+03;8.397004127730790060e+03;8.028789638239890337e+03;1.958610961044381547e+05
8.000000000000000498e-09;5.530660130933951223e+03;7.535918844938104485e+03;7.284103181456273887e+03;1.958636208264637098e+05
1.000000000000000021e-08;3.119424860355072724e+03;3.376919248263002373e+03;3.395533029613900453e+03;1.958654670053092996e+05
1.200000000000000157e-08;-4.533107722078759139e+01;-1.324680983475118637e+03;-1.132572192336840089e+03;1.958660863221786567e+05
1.400000000000000129e-08;2.560733316015720220e+02;-1.659418289820139762e+03;-1.125677189538138919e+03;1.958640373141001037e+05
1.600000000000000100e-08;5.681362335345130305e+03;4.068487275241001043e+03;3.722686764550628595e+03;1.958619661349043308e+05
1.800000000000000236e-08;7.640490992690468374e+03;6.184519161127740517e+03;6.185797425996571292e+03;1.958635853394029255e+05
2.000000000000000042e-08;7.791193197101649275e+03;6.364088327141187619e+03;5.580640033694450722e+03;1.958666724750175199e+05
2.200000000000000178e-08;-2.155163867965522968e+03;-4.636649352113541681e+03;-4.237562939476105385e+03;1.958669828954871628e+05
2.400000000000000315e-08;-4.566397209556183952e+03;-7.286191935510142685e+03;-6.320265479408728424e+03;1.958632051727147191e+05
2.600000000000000121e-08;2.516616042710352758e+03;1.711862470942432992e+02;-6.599407480237132404e+02;1.958595136333946721e+05
2.800000000000000257e-08;1.160286558068651402e+03;-2.029057257948676352e+03;-1.716133770734886639e+03;1.958598435839086596e+05
3.000000000000000394e-08;2.365904193358090652e+03;-1.395743763913225848e+03;-1.876775816485635232e+03;1.958631006064457179e+05
3.200000000000000199e-08;-1.703055325743766616e+03;-6.421352673132701057e+03;-5.831862857306972728e+03;1.958651522323239769e+05
3.400000000000000005e-08;1.461690966891011385e+03;-3.093858757037553005e+03;-3.234507982489827555e+03;1.958633790213387983e+05
3.600000000000000472e-08;1.913797580124551132e+03;-2.588828396266791970e+03;-2.582027179789147340e+03;1.958616311870312784e+05
3.800000000000000278e-08;3.722233677999791325e+03;-3.542618054826743901e+02;-2.995503686731681228e+02;1.958624613612103276e+05
4.000000000000000084e-08;4.777149108878051265e+03;1.046278275086078793e+03;7.535132228950971012e+02;1.958640117495938321e+05
4.200000000000000551e-08;2.818020451532712741e+03;-9.005009657386690378e+02;-9.806641695473809932e+02;1.958633479356706375e+05
4.400000000000000357e-08;-3.467354860431475458e+02;-4.240067766533698887e+03;-3.836357557606184855e+03;1.958605060187825002e+05
4.600000000000000162e-08;2.968722655943892278e+03;-4.885392759060487720e+02;-4.017299451485742452e+02;1.958609857537367207e+05
4.800000000000000630e-08;5.530660130933951223e+03;2.211035499562276527e+03;1.690727255300502293e+03;1.958644634314928844e+05
5.000000000000000435e-08;2.365904193358090652e+03;-1.363744176193024032e+03;-1.415904270916478708e+03;1.958670106130776985e+05
5.200000000000000241e-08;-2.155163867965522968e+03;-6.173588067544507794e+03;-5.762459038499742746e+03;1.958657038825638301e+05
