# time;scaled;deconvolved;regularized;uncertainty(k=1)
0.000000000000000000e+00;6.864380107375225634e+03;-1.083169624209540780e+04;-1.111454366939986357e+04;9.470949286992441921e+04
2.000000000000000125e-09;1.011638231891451869e+04;-3.525544477838382591e+03;-7.202758451659145976e+03;9.472043303771442152e+04
4.000000000000000249e-09;3.612377895835938943e+03;-1.116361910356770386e+04;-1.001313014045253112e+04;9.473174835690300097e+04
6.000000000000000787e-09;4.018878172278347847e+03;-1.110551653516830993e+04;-1.083317733462352771e+04;9.474382274067506660e+04
8.000000000000000498e-09;4.425378448720756751e+03;-1.110338708833742021e+04;-1.169243082208084525e+04;9.475648377080580394e+04
1.000000000000000021e-08;1.376561335358443330e+03;-1.593666981008712901e+04;-1.646665715116530191e+04;9.476901870944946131e+04
1.200000000000000157e-08;-8.591251450305886692e+02;-2.136348172463764786e+04;-1.819196636623403538e+04;9.478062636478558125e+04
1.400000000000000129e-08;6.661064929109788864e+03;-1.249172791708837030e+04;-1.448878655204623828e+04;9.479120002798954374e+04
1.600000000000000100e-08;3.409062717570502627e+03;-1.618687323358142930e+04;-1.640650563621886613e+04;9.480146335061678838e+04
1.800000000000000236e-08;2.392877066508704957e+03;-1.784637439804803580e+04;-1.698031402841716772e+04;9.481246348872536328e+04
2.000000000000000042e-08;2.392877066508704957e+03;-1.675641637775814161e+04;-1.681945086198873469e+04;9.482460576127936656e+04
2.200000000000000178e-08;3.409062717570502627e+03;-1.453642144528249628e+04;-1.369327721842106257e+04;9.483723871785936353e+04
2.400000000000000315e-08;5.238379001605581834e+03;-9.779890016869234387e+03;-1.237513017092339578e+04;9.484945030754282197e+04
2.600000000000000121e-08;-1.875440876180850182e+03;-1.774361870912247105e+04;-1.715707725423731608e+04;9.486086858837306499e+04
2.800000000000000257e-08;-3.907942258392909480e+03;-2.098519081706361612e+04;-1.928377797141391784e+04;9.487193436434939213e+04
3.000000000000000394e-08;1.570605060312091155e+02;-1.639012861640623305e+04;-1.612201518231676891e+04;9.488334895780480292e+04
3.200000000000000199e-08;3.205877619393522764e+03;-1.246114755282044644e+04;-1.370150819583304110e+04;9.489520554368277953e+04
3.400000000000000005e-08;3.815562994012911531e+03;-1.246613154431752628e+04;-1.180715113007588843e+04;9.490690726631894358e+04
3.600000000000000472e-08;5.441564099782554877e+03;-1.018800696801050799e+04;-1.246439487924583955e+04;9.491782663252524799e+04
3.800000000000000278e-08;3.603756842966454315e+02;-1.755275073443556903e+04;-1.450772351315931883e+04;9.492807917728443863e+04
4.000000000000000084e-08;6.864380107375225634e+03;-8.970776344211102696e+03;-1.069811490222084103e+04;9.493864226491951558e+04
4.200000000000000551e-08;3.205877619393522764e+03;-1.182980535354031781e+04;-1.178549278211971978e+04;9.495040196367900353e+04
4.400000000000000357e-08;2.596062164685677544e+03;-1.168761875114188297e+04;-1.201818098879128229e+04;9.496324595813683118e+04
4.600000000000000162e-08;-1.265625421473004735e+03;-1.497033684684365289e+04;-1.424127233822265407e+04;9.497620740252461110e+04
4.800000000000000630e-08;1.570605060312091155e+02;-1.257284584745721259e+04;-1.246000623303785687e+04;9.498836189070623368e+04
5.000000000000000435e-08;-1.468940599738441051e+03;-1.295984215752448836e+04;-1.403632814987513302e+04;9.499964181712720892e+04
5.200000000000000241e-08;-3.704627080127473164e+03;-1.628373175078246459e+04;-1.530232956658487092e+04;9.501075801988542662e+04
5.400000000000000047e-08;-3.907942258392909480e+03;-1.662807387728910544e+04;-1.690112550138588995e+04;9.502245138738089008e+04
5.600000000000000514e-08;-3.094941705508084397e+03;-1.692594644995164708e+04;-1.568547182194798552e+04;9.503495316261461994e+04
5.800000000000000320e-08;7.668759607390544488e+02;-1.220411684171584784e+04;-1.268896060695004417e+04;9.504798233008028183e+04
6.000000000000000787e-08;3.002562441128086448e+03;-9.231628340838624354e+03;-1.066210827120675822e+04;9.506108695718692616e+04
6.199999999999999931e-08;-1.468940599738441051e+03;-1.446101522765558911e+04;-1.383831052412101599e+04;9.507404572906278190e+04
6.400000000000000399e-08;1.579876513623879646e+03;-1.146468363709595178e+04;-9.338195273312478093e+03;9.508700831048678083e+04
6.600000000000000866e-08;6.661064929109788864e+03;-2.453049325943371514e+03;-5.524236361887669773e+03;9.510007674764309195e+04
6.800000000000000010e-08;3.612377895835938943e+03;-5.398906621558578081e+03;-4.315248770575650269e+03;9.511315338682389120e+04
7.000000000000000477e-08;3.612377895835938943e+03;-3.751045490214485199e+03;-4.929507691259642343e+03;9.512612586178095080e+04
7.200000000000000945e-08;3.409062717570502627e+03;-4.185766937170847086e+03;-1.852788958382152487e+03;9.513895636864819971e+04
7.400000000000000089e-08;7.474065481994613947e+03;2.934355536758026574e+03;-1.170511984319280828e+03;9.515167990647187980e+04
7.600000000000000556e-08;3.603756842966454315e+02;-7.027315631337638479e+03;-3.417177640573180270e+03;9.516424585373849550e+04
7.800000000000001023e-08;5.441564099782554877e+03;-3.965581847849825863e+02;-3.831178915476542898e+03;9.517666952395898988e+04
8.000000000000000167e-08;-2.078625974357822997e+03;-1.111707704291475420e+04;-7.536281395887810504e+03;9.518907804350224615e+04
8.200000000000000635e-08;4.831878725163172930e+03;-3.124951847299817018e+03;-5.058164554174524710e+03;9.520166816898196703e+04
