# time;scaled;deconvolved;regularized;uncertainty(k=1)
0.000000000000000000e+00;4.853172405758501213e+02;1.336895861959070317e+03;5.460506020937609719e+02;7.558750515989774431e+04
2.000000000000000125e-09;-1.874321362437120342e+03;-1.920430516203326988e+03;-9.797873867862945190e+02;7.558679211060247326e+04
4.000000000000000249e-09;-1.264406257423019042e+02;2.219269318920997023e+02;-7.475169443545746617e+01;7.558714130618356285e+04
6.000000000000000787e-09;-3.904664483970871913e+01;4.765728221626777668e+02;7.286160778695921181e+02;7.558714852674638678e+04
8.000000000000000498e-09;1.446656623719152321e+03;2.549459794087611954e+03;2.285593012117577018e+03;7.558713064116537862e+04
1.000000000000000021e-08;1.796232547329524550e+03;2.807777610870005446e+03;2.445324216833498213e+03;7.558752805008794530e+04
1.200000000000000157e-08;4.853172405758501213e+02;8.490491372700489592e+02;9.886132101866096491e+02;7.558758580625502509e+04
1.400000000000000129e-08;3.979232596732567799e+02;7.816149524071516907e+02;1.410078137770644389e+03;7.558746061120685772e+04
1.600000000000000100e-08;2.582778375452863202e+03;3.767018306961123017e+03;3.188702315821807588e+03;7.558758894977370801e+04
1.800000000000000236e-08;2.058414490037303949e+03;3.372157693089538952e+03;3.379375603496140684e+03;7.558731964045146015e+04
2.000000000000000042e-08;1.446656623719152321e+03;2.684595990170826553e+03;2.073193449462851277e+03;7.558725882373757486e+04
2.200000000000000178e-08;-1.961715343339713172e+03;-1.639839715007328778e+03;-8.638369229192321654e+02;7.558725533449402428e+04
2.400000000000000315e-08;-1.437351457924154602e+03;-7.945630788130001747e+02;-7.174984427564413636e+02;7.558723866998638550e+04
2.600000000000000121e-08;-1.786927381534526830e+03;-9.551076412293550675e+02;-1.219098994848158327e+03;7.558731056586274644e+04
2.800000000000000257e-08;-3.185229957333061520e+03;-2.079553796918080479e+03;-1.706754795596876875e+03;7.558681369968432409e+04
3.000000000000000394e-08;-2.573472091014909893e+03;-9.047835758811925189e+02;-7.117547091350425035e+02;7.558625731425256527e+04
3.200000000000000199e-08;-3.012285875474882459e+02;1.698602536213787971e+03;1.425627808929697494e+03;7.558608668834013224e+04
3.400000000000000005e-08;4.853172405758501213e+02;2.026241501664750331e+03;1.728131319148000557e+03;7.558588591696908406e+04
3.600000000000000472e-08;6.601052023810365199e+02;2.055072541970526800e+03;2.514490650346910115e+03;7.558552676433233137e+04
3.800000000000000278e-08;2.058414490037303949e+03;3.891887320968555741e+03;3.053041440386670729e+03;7.558591095134231728e+04
4.000000000000000084e-08;-2.138346066448950751e+02;1.154636540447649168e+03;1.760770812672933971e+03;7.558575873988708190e+04
4.200000000000000551e-08;6.601052023810365199e+02;2.118323737349732255e+03;1.700687764092264842e+03;7.558524054928288388e+04
4.400000000000000357e-08;-7.381984920604539866e+02;7.063397584224730963e+00;4.324675959584565135e+02;7.558503502064316126e+04
4.600000000000000162e-08;4.834733606288445174e+01;1.160544003437375068e+03;1.006405736142354840e+03;7.558461010228123632e+04
4.800000000000000630e-08;-1.524745438826747659e+03;-2.697773392874441925e+02;-6.131202579011661555e+02;7.558463516466204601e+04
5.000000000000000435e-08;-3.709593842748620318e+03;-2.109905895178962965e+03;-1.080730314971071721e+03;7.558424729868338909e+04
5.200000000000000241e-08;-1.175168396573419614e+03;1.193178376097050432e+03;3.277129748259831103e+02;7.558357950211892603e+04
5.400000000000000047e-08;-2.049108205599351095e+03;-5.948824427089784876e+02;1.388018558399999165e+02;7.558381845833556144e+04
5.600000000000000514e-08;1.621444585524338663e+03;3.340034284643857973e+03;3.186371187615131930e+03;7.558389747078935034e+04
5.800000000000000320e-08;3.456718184478794683e+03;5.107407311800237949e+03;4.355231845983937092e+03;7.558351250939202146e+04
6.000000000000000787e-08;1.796232547329524550e+03;3.148408174369305925e+03;3.286762966395010608e+03;7.558340909556939732e+04
6.199999999999999931e-08;8.348931641862224069e+02;2.308201157687290106e+03;2.679260124266613730e+03;7.558338702140221721e+04
6.400000000000000399e-08;2.320596432745084257e+03;4.222546719135250896e+03;4.265305852384481113e+03;7.558325609306314436e+04
6.600000000000000866e-08;3.281930222673608114e+03;5.024740360653464450e+03;4.180525550935737556e+03;7.558299246839310217e+04
6.800000000000000010e-08;3.105292787706637796e+02;1.264121259410807625e+03;1.743388889560126927e+03;7.558299804505491920e+04
7.000000000000000477e-08;-5.634105302552675312e+02;6.139668494766810909e+02;9.985322196916968096e+02;7.558278452578422730e+04
7.200000000000000945e-08;8.348931641862224069e+02;2.568500146346661495e+03;2.756327759192470694e+03;7.558288260425820772e+04
7.400000000000000089e-08;2.495384394550269917e+03;4.202830348245101050e+03;3.118402464838523883e+03;7.558315847466487321e+04
7.600000000000000556e-08;-5.634105302552675312e+02;1.432365497762220912e+02;1.147697695563139860e+03;7.558287369638489326e+04
7.800000000000001023e-08;1.097080700108779638e+03;2.722771795735432534e+03;2.321104590044444194e+03;7.558282348991426989e+04
8.000000000000000167e-08;-3.886225684500812463e+02;1.408155964689212851e+03;1.410733418465475779e+03;7.558292637191270478e+04
8.200000000000000635e-08;-3.886225684500812463e+02;1.816054296157322824e+03;2.330506028666539351e+03;7.558285531675376114e+04
8.400000000000001102e-08;1.796232547329524550e+03;3.942095454443100607e+03;3.056803150000283495e+03;7.558266291090511368e+04
8.600000000000000246e-08;3.105292787706637796e+02;1.163809047443617601e+03;1.587148795784043614e+03;7.558249016382526315e+04
8.800000000000000714e-08;2.231352978680708077e+02;7.968389620941015892e+02;3.530981200101378477e+02;7.558269136316189542e+04
9.000000000000001181e-08;-3.447411900040840919e+03;-3.177248027102701599e+03;-2.801360651635215618e+03;7.558319763825100381e+04
9.200000000000000325e-08;-4.758316020364960423e+03;-3.602824309587275366e+03;-2.604831136464505562e+03;7.558303590175059799e+04
9.400000000000000792e-08;-1.262562377476012671e+03;1.128245179194549564e+03;5.014536153119843220e+02;7.558335852255848295e+04
9.600000000000001260e-08;-3.904664483970871913e+01;1.927202812065312401e+03;1.855709259790834267e+03;7.558391423080640379e+04
9.800000000000000404e-08;1.796232547329524550e+03;3.375282836169819348e+03;3.458735001705354080e+03;7.558421770974638639e+04
1.000000000000000087e-07;4.068476050796945856e+03;5.720435566403932171e+03;5.502755408302167780e+03;7.558442457682304666e+04
1.020000000000000001e-07;4.592839936212505563e+03;6.228324688088061521e+03;5.524934211078507360e+03;7.558430480426026043e+04
1.040000000000000048e-07;1.971020509134711347e+03;3.068705542302312551e+03;3.643715210242880858e+03;7.558419277301045076e+04
1.060000000000000095e-07;2.145808470939897234e+03;3.410195095867034979e+03;3.007401088288374012e+03;7.558404806584992912e+04
1.080000000000000009e-07;-3.886225684500812463e+02;2.029644188221573415e+02;5.971482199070160277e+02;7.558458293546515051e+04
1.100000000000000056e-07;-2.138346066448950751e+02;7.679699068450282766e+02;1.292471336727729067e+03;7.558478134970659448e+04
1.120000000000000103e-07;1.271868661913965980e+03;2.776862649571034126e+03;1.984724932021054201e+03;7.558420596297946759e+04
1.140000000000000017e-07;-6.508045111578608157e+02;4.940225020131329643e+02;7.673006021180772223e+02;7.558430228045700642e+04
1.160000000000000064e-07;-1.524745438826747659e+03;-4.700390644211802851e+02;-6.914861270557958051e+02;7.558450830877640692e+04
1.180000000000000111e-07;-3.622199861846027943e+03;-2.946057601310676546e+03;-2.637223806393747509e+03;7.558465006781091506e+04
1.200000000000000157e-07;-4.321351709066772855e+03;-3.591779993335927429e+03;-3.057281748766778037e+03;7.558525152622954920e+04
1.220000000000000072e-07;-1.612139419729340716e+03;-1.813368422118583112e+02;1.724696680387351080e+02;7.558530895067828533e+04
1.239999999999999986e-07;2.582778375452863202e+03;4.439955290254987631e+03;3.391874130410647922e+03;7.558554976890565013e+04
