# time;scaled;deconvolved;regularized;uncertainty(k=1)
0.000000000000000000e+00;3.208545905746184872e+03;2.801405738708024728e+03;1.249951707629894372e+03;7.663512836445219000e+04
2.000000000000000125e-09;-1.041173389051133199e+03;-2.302920651758700842e+03;-2.180399303549449542e+03;7.663550616100133630e+04
4.000000000000000249e-09;-2.174427032448206774e+03;-3.607170135975146422e+03;-2.431219824293621059e+03;7.663586808668507729e+04
6.000000000000000787e-09;5.170503706198414875e+02;-4.905295365044948994e+02;-1.913641787697677501e+03;7.663618705442528881e+04
8.000000000000000498e-09;-3.732650792119182370e+03;-5.518105198934034888e+03;-4.543660959885877674e+03;7.663631421013780346e+04
1.000000000000000021e-08;-2.457740443297474485e+03;-3.928553628596157523e+03;-3.729843990205358295e+03;7.663671748675433628e+04
1.200000000000000157e-08;-3.328898619279630680e+02;-1.358649141306290403e+03;-1.206880853910450242e+03;7.663735726416503894e+04
1.400000000000000129e-08;2.925232494896916251e+03;2.499372515576214937e+03;2.205639110011652519e+03;7.663786390407661384e+04
1.600000000000000100e-08;4.908426370841794778e+03;4.775310507835689350e+03;4.096353238304298429e+03;7.663830109256066498e+04
1.800000000000000236e-08;3.491859316595453038e+03;3.017813066562659515e+03;3.056109315676214919e+03;7.663855453734834737e+04
2.000000000000000042e-08;3.350202611170818727e+03;2.792136438450885180e+03;3.067607809517263831e+03;7.663908738153120794e+04
2.200000000000000178e-08;3.633516022020086893e+03;3.019039779725448170e+03;2.688211806956656801e+03;7.663992316668659623e+04
2.400000000000000315e-08;2.783575789472282395e+03;1.933606226261683560e+03;2.016407488114877196e+03;7.664010776633225032e+04
2.600000000000000121e-08;9.420204868937437368e+02;-2.806000713327375706e+02;-7.313097613459394779e+02;7.663968054277330521e+04
2.800000000000000257e-08;-2.174427032448206774e+03;-3.840780995805369457e+03;-2.566281877163433819e+03;7.663942805025786220e+04
3.000000000000000394e-08;8.003637814691104495e+02;-1.798251601975352969e+02;-1.404180432705325359e+02;7.663942324850076693e+04
3.200000000000000199e-08;4.483456254567891847e+03;4.226527554314474401e+03;3.965906416759783042e+03;7.663927934337200713e+04
3.400000000000000005e-08;5.758366603389598822e+03;5.660827224352063240e+03;4.486513481600384694e+03;7.663900433939306822e+04
3.600000000000000472e-08;2.641919084047648084e+03;1.938295292603812413e+03;2.775180439901159843e+03;7.663886229163239477e+04
3.800000000000000278e-08;3.350202611170818727e+03;2.717276932776353078e+03;2.432564303165767342e+03;7.663848455743622617e+04
4.000000000000000084e-08;2.641919084047648084e+03;1.800960982238328143e+03;1.569076197069778573e+03;7.663799115095187153e+04
4.200000000000000551e-08;-1.182830094475767737e+03;-2.753473594954266446e+03;-3.017820824704031111e+03;7.663796034896421770e+04
4.400000000000000357e-08;-4.015964202968450536e+03;-5.941110325182425186e+03;-4.237557269422875834e+03;7.663800969284330495e+04
4.600000000000000162e-08;-1.607800210749669986e+03;-2.965854954516747966e+03;-4.870045856712298701e+03;7.663747125115024392e+04
4.800000000000000630e-08;-6.565784900611864941e+03;-8.564342500619051862e+03;-5.718925240872908944e+03;7.663696500563519658e+04
5.000000000000000435e-08;1.933617424866183455e+03;1.648690307866345393e+03;-9.077229565418820130e+02;7.663706949481161428e+04
5.200000000000000241e-08;-3.024367264996011272e+03;-4.134701850092984387e+03;-2.726058641754047130e+03;7.663723249102260161e+04
5.400000000000000047e-08;1.508647308592280524e+03;1.318540882611065399e+03;8.782910717400810654e+02;7.663703955885354662e+04
5.600000000000000514e-08;2.216948967773745608e+03;2.069451576231673243e+03;1.622190823944998556e+03;7.663690370228393294e+04
5.800000000000000320e-08;1.791960719441548918e+03;1.505309284766452038e+03;1.532378357759589562e+03;7.663693597180741199e+04
6.000000000000000787e-08;1.366990603167646668e+03;9.464411545595503412e+02;7.171744030833797297e+02;7.663702596800254832e+04
6.199999999999999931e-08;-1.749456916174304524e+03;-2.714053527291674982e+03;-3.445662368486839114e+03;7.663732881335761340e+04
6.400000000000000399e-08;-7.274068427735036494e+03;-9.021973871941721882e+03;-6.783471079116847250e+03;7.663762737975250639e+04
6.600000000000000866e-08;-2.599397148722108795e+03;-3.288941938425240096e+03;-4.908857395025508595e+03;7.663794642920546175e+04
