Frequenzen /MHz, Realteil V/Pa,Imagteil / (V/Pa) , Var (k=1) real / (V/Pa)^2, var k=1 imag / (V/Pa)^2, korrelation / (V/Pa)^2, Amplitude |M| / dB re 1V/Pa, Amplitude M / (V/Pa) , uns (k=1) / V/Pa, phase arg(M) / rad, uns k=1 /rad, korrelation [-1...1] 
2.290000e+01, 8.241894e-10, 2.547144e-09, 1.660647e-20, 1.696026e-20, -1.249269e-21, -1.714465e+02, 2.677168e-09, 1.272591e-10, 1.257855e+00, 4.923197e-02, 6.654085e-02 
2.300000e+01, 9.028485e-10, 2.566262e-09, 1.737177e-20, 2.492920e-20, -2.465557e-21, -1.713072e+02, 2.720448e-09, 1.501767e-10, 1.232506e+00, 5.165593e-02, 2.032043e-01 
2.310000e+01, 9.235193e-10, 2.556145e-09, 1.586562e-20, 1.522497e-20, 1.053778e-21, -1.713155e+02, 2.717860e-09, 1.263822e-10, 1.224096e+00, 4.523991e-02, -6.532893e-02 
2.320000e+01, 9.238481e-10, 2.524250e-09, 1.443169e-20, 1.535206e-20, 6.800121e-22, -1.714114e+02, 2.687998e-09, 1.252290e-10, 1.219949e+00, 4.417769e-02, -1.494890e-02 
2.330000e+01, 8.469013e-10, 2.661340e-09, 2.065473e-20, 1.596285e-20, 2.612581e-21, -1.710791e+02, 2.792843e-09, 1.338064e-10, 1.262706e+00, 4.898127e-02, -1.905494e-01 
2.340000e+01, 8.170547e-10, 2.667753e-09, 1.654074e-20, 1.548765e-20, 4.956351e-22, -1.710877e+02, 2.790069e-09, 1.259187e-10, 1.273597e+00, 4.558045e-02, -4.405667e-02 
2.350000e+01, 9.114326e-10, 2.716497e-09, 1.474148e-20, 1.585251e-20, 4.794002e-22, -1.708565e+02, 2.865321e-09, 1.266066e-10, 1.247081e+00, 4.211902e-02, -3.097914e-03 
2.360000e+01, 9.118606e-10, 2.634965e-09, 1.733683e-20, 1.721973e-20, -1.256022e-21, -1.710933e+02, 2.788284e-09, 1.282806e-10, 1.237634e+00, 4.825141e-02, 5.511238e-02 
2.370000e+01, 8.266579e-10, 2.761259e-09, 1.490454e-20, 1.904972e-20, 6.520525e-22, -1.708051e+02, 2.882345e-09, 1.380835e-10, 1.279911e+00, 4.233118e-02, 3.526310e-02 
2.380000e+01, 8.588102e-10, 2.722249e-09, 1.771309e-20, 1.736070e-20, -2.000309e-22, -1.708894e+02, 2.854504e-09, 1.314451e-10, 1.265201e+00, 4.673371e-02, 3.576273e-03 
2.390000e+01, 9.453450e-10, 2.727085e-09, 1.489719e-20, 2.153971e-20, 1.779081e-21, -1.707932e+02, 2.886290e-09, 1.480819e-10, 1.237109e+00, 4.173242e-02, 3.690353e-02 
2.400000e+01, 8.364993e-10, 2.708535e-09, 2.159898e-20, 2.114574e-20, -3.777236e-21, -1.709497e+02, 2.834765e-09, 1.380408e-10, 1.271251e+00, 5.429509e-02, 1.408068e-01 
2.410000e+01, 9.400314e-10, 2.799278e-09, 1.939940e-20, 1.589771e-20, -6.663355e-22, -1.705950e+02, 2.952900e-09, 1.258984e-10, 1.246817e+00, 4.722526e-02, -2.992934e-02 
