Frequenzen /MHz, Realteil V/Pa,Imagteil / (V/Pa) , Var (k=1) real / (V/Pa)^2, var k=1 imag / (V/Pa)^2, korrelation / (V/Pa)^2, Amplitude |M| / dB re 1V/Pa, Amplitude M / (V/Pa) , uns (k=1) / V/Pa, phase arg(M) / rad, uns k=1 /rad, korrelation [-1...1] 
8.530000e+01, 1.504752e-08, 1.676225e-09, 5.465634e-18, 5.241841e-18, -7.152973e-20, -1.563971e+02, 1.514059e-08, 2.333913e-09, 1.109381e-01, 1.514828e-01, -1.763527e-02 
8.540000e+01, 1.456473e-08, 1.371218e-09, 5.299907e-18, 5.538815e-18, 4.627428e-20, -1.566956e+02, 1.462914e-08, 2.304483e-09, 9.386979e-02, 1.607195e-01, 1.250508e-02 
8.550000e+01, 1.500689e-08, 1.660533e-09, 5.650976e-18, 5.398320e-18, 6.150790e-20, -1.564213e+02, 1.509848e-08, 2.379363e-09, 1.102031e-01, 1.537367e-01, 5.866671e-03 
8.560000e+01, 1.448014e-08, 1.164791e-09, 5.064892e-18, 5.400122e-18, -2.439686e-20, -1.567565e+02, 1.452691e-08, 2.250144e-09, 8.026776e-02, 1.599921e-01, 5.181056e-04 
8.570000e+01, 1.453805e-08, 9.327739e-10, 5.227534e-18, 5.147755e-18, 5.106753e-20, -1.567320e+02, 1.456794e-08, 2.287735e-09, 6.407304e-02, 1.556500e-01, 8.781037e-03 
8.580000e+01, 1.380416e-08, 1.084493e-09, 5.187807e-18, 5.237546e-18, 4.167681e-20, -1.571731e+02, 1.384669e-08, 2.279171e-09, 7.840173e-02, 1.651715e-01, 8.642284e-03 
8.590000e+01, 1.419668e-08, 2.825398e-09, 5.182203e-18, 5.179929e-18, -6.580551e-20, -1.567876e+02, 1.447510e-08, 2.270886e-09, 1.964514e-01, 1.576150e-01, -1.181750e-02 
8.600000e+01, 1.393648e-08, 1.200430e-09, 4.756636e-18, 4.899097e-18, 1.442501e-19, -1.570848e+02, 1.398808e-08, 2.186859e-09, 8.592373e-02, 1.578181e-01, 3.196295e-02 
8.610000e+01, 1.376613e-08, 1.232033e-09, 5.527077e-18, 5.104635e-18, -8.438921e-20, -1.571891e+02, 1.382115e-08, 2.347069e-09, 8.925960e-02, 1.637634e-01, -2.269334e-02 
8.620000e+01, 1.346109e-08, 8.336318e-10, 5.369671e-18, 5.082263e-18, 4.448619e-20, -1.574018e+02, 1.348688e-08, 2.318202e-09, 6.185001e-02, 1.670819e-01, 5.056670e-03 
8.630000e+01, 1.374555e-08, 6.634986e-10, 5.144672e-18, 4.906582e-18, 1.448824e-19, -1.572267e+02, 1.376155e-08, 2.271139e-09, 4.823263e-02, 1.607416e-01, 2.642238e-02 
8.640000e+01, 1.433800e-08, 1.598504e-09, 5.194164e-18, 5.192127e-18, 1.621118e-19, -1.568166e+02, 1.442683e-08, 2.286885e-09, 1.110287e-01, 1.573999e-01, 3.040758e-02 
8.650000e+01, 1.329738e-08, 1.194908e-09, 4.491542e-18, 4.570061e-18, 9.308420e-20, -1.574898e+02, 1.335096e-08, 2.123386e-09, 8.961970e-02, 1.598191e-01, 2.176069e-02 
8.660000e+01, 1.399377e-08, 1.659390e-09, 5.272108e-18, 5.217713e-18, 2.613824e-20, -1.570207e+02, 1.409181e-08, 2.297274e-09, 1.180295e-01, 1.620131e-01, 3.632659e-03 
8.670000e+01, 1.345637e-08, 8.881921e-10, 5.094493e-18, 5.122748e-18, 1.975389e-20, -1.574026e+02, 1.348565e-08, 2.257701e-09, 6.590972e-02, 1.677893e-01, 4.196721e-03 
8.680000e+01, 1.396769e-08, 9.023199e-10, 5.540592e-18, 5.129609e-18, -3.643422e-20, -1.570794e+02, 1.399680e-08, 2.352487e-09, 6.451087e-02, 1.619138e-01, -1.173631e-02 
8.690000e+01, 1.437480e-08, 8.706742e-10, 5.694291e-18, 5.964626e-18, 6.259608e-20, -1.568321e+02, 1.440114e-08, 2.388061e-09, 6.049558e-02, 1.694663e-01, 1.346114e-02 
8.700000e+01, 1.316304e-08, 1.022275e-09, 5.007239e-18, 4.831883e-18, 7.786984e-20, -1.575868e+02, 1.320268e-08, 2.240136e-09, 7.750695e-02, 1.663040e-01, 1.288976e-02 
8.710000e+01, 1.345093e-08, 3.892079e-10, 5.312830e-18, 5.099898e-18, 3.010871e-19, -1.574213e+02, 1.345656e-08, 2.308693e-09, 2.892732e-02, 1.675374e-01, 5.656738e-02 
8.720000e+01, 1.381095e-08, 1.077949e-09, 5.644374e-18, 5.279478e-18, -2.132153e-20, -1.571692e+02, 1.385295e-08, 2.374628e-09, 7.789240e-02, 1.659510e-01, -9.043889e-03 
8.730000e+01, 1.347833e-08, 1.463244e-09, 5.488365e-18, 5.301237e-18, -9.041917e-21, -1.573564e+02, 1.355752e-08, 2.341846e-09, 1.081392e-01, 1.698936e-01, -5.359553e-03 
8.740000e+01, 1.377411e-08, 1.187600e-09, 5.556273e-18, 5.708711e-18, 3.549770e-20, -1.571866e+02, 1.382521e-08, 2.358702e-09, 8.600703e-02, 1.727122e-01, 8.526175e-03 
8.750000e+01, 1.418916e-08, 8.219542e-10, 5.582557e-18, 5.311772e-18, 9.969425e-21, -1.569463e+02, 1.421295e-08, 2.362795e-09, 5.786365e-02, 1.621532e-01, -1.052418e-03 
8.760000e+01, 1.346279e-08, 2.153861e-09, 5.874390e-18, 6.382488e-18, 1.505819e-19, -1.573075e+02, 1.363400e-08, 2.435991e-09, 1.586418e-01, 1.844304e-01, 3.629598e-02 
8.770000e+01, 1.340717e-08, 3.685667e-10, 5.234236e-18, 5.280154e-18, 5.071050e-20, -1.574500e+02, 1.341224e-08, 2.288462e-09, 2.748335e-02, 1.712798e-01, 9.871355e-03 
8.780000e+01, 1.360418e-08, 1.260945e-09, 5.475195e-18, 5.189619e-18, 4.222413e-20, -1.572894e+02, 1.366249e-08, 2.341052e-09, 9.242399e-02, 1.666536e-01, 2.863000e-03 
8.790000e+01, 1.348324e-08, 8.160578e-10, 5.278694e-18, 5.301049e-18, 1.652476e-19, -1.573882e+02, 1.350791e-08, 2.301892e-09, 6.045012e-02, 1.701263e-01, 3.126535e-02 
