Frequenzen /MHz, Realteil V/Pa,Imagteil / (V/Pa) , Var (k=1) real / (V/Pa)^2, var k=1 imag / (V/Pa)^2, korrelation / (V/Pa)^2, Amplitude |M| / dB re 1V/Pa, Amplitude M / (V/Pa) , uns (k=1) / V/Pa, phase arg(M) / rad, uns k=1 /rad, korrelation [-1...1] 
9.890000e+01, 2.788190e-08, 8.752193e-10, 1.537160e-17, 1.751494e-17, -2.779376e-19, -1.510893e+02, 2.789563e-08, 3.918709e-09, 3.137993e-02, 1.500921e-01, -1.280995e-02 
9.900000e+01, 2.715910e-08, 5.592088e-10, 1.380275e-17, 1.432518e-17, 3.042329e-19, -1.513199e+02, 2.716486e-08, 3.716920e-09, 2.058720e-02, 1.392674e-01, 2.238178e-02 
9.910000e+01, 2.729338e-08, 7.607845e-10, 1.560264e-17, 1.577615e-17, -6.094666e-19, -1.512755e+02, 2.730398e-08, 3.945735e-09, 2.786711e-02, 1.456262e-01, -3.847856e-02 
9.920000e+01, 2.595179e-08, 1.939858e-09, 1.441723e-17, 1.483423e-17, 6.143064e-20, -1.516925e+02, 2.602419e-08, 3.798510e-09, 7.460977e-02, 1.479407e-01, 6.273414e-03 
9.930000e+01, 2.726099e-08, 1.007190e-09, 1.600131e-17, 1.710263e-17, 2.100146e-19, -1.512832e+02, 2.727959e-08, 4.002288e-09, 3.692940e-02, 1.515227e-01, 1.511640e-02 
9.940000e+01, 2.670576e-08, 1.487474e-09, 1.406697e-17, 1.453061e-17, 4.760030e-19, -1.514544e+02, 2.674715e-08, 3.757827e-09, 5.564113e-02, 1.422497e-01, 3.488696e-02 
9.950000e+01, 2.594796e-08, 1.483796e-09, 1.430279e-17, 1.717043e-17, 3.475774e-19, -1.517038e+02, 2.599035e-08, 3.788371e-09, 5.712132e-02, 1.592056e-01, 3.245556e-02 
9.960000e+01, 2.692967e-08, 1.816818e-09, 1.578029e-17, 1.554257e-17, -2.961151e-19, -1.513757e+02, 2.699089e-08, 3.967296e-09, 6.736321e-02, 1.462562e-01, -1.975559e-02 
9.970000e+01, 2.694655e-08, 2.463606e-10, 1.385769e-17, 1.673023e-17, 2.697879e-19, -1.513896e+02, 2.694768e-08, 3.723287e-09, 9.142311e-03, 1.517618e-01, 1.943953e-02 
9.980000e+01, 2.818429e-08, 1.562955e-09, 1.542773e-17, 1.682083e-17, -9.341621e-20, -1.509865e+02, 2.822759e-08, 3.927044e-09, 5.539809e-02, 1.453209e-01, -9.824431e-04 
9.990000e+01, 2.802364e-08, 2.710025e-09, 1.593758e-17, 1.738790e-17, 6.565412e-19, -1.510091e+02, 2.815437e-08, 4.009591e-09, 9.640518e-02, 1.475135e-01, 4.703990e-02 
1.000000e+02, 2.811883e-08, 1.015508e-10, 1.641507e-17, 1.926414e-17, 4.201681e-19, -1.510200e+02, 2.811901e-08, 4.051931e-09, 3.611472e-03, 1.560774e-01, 2.420566e-02 
