Frequenzen /MHz, Realteil V/Pa,Imagteil / (V/Pa) , Var (k=1) real / (V/Pa)^2, var k=1 imag / (V/Pa)^2, korrelation / (V/Pa)^2, Amplitude |M| / dB re 1V/Pa, Amplitude M / (V/Pa) , uns (k=1) / V/Pa, phase arg(M) / rad, uns k=1 /rad, korrelation [-1...1] 
8.660000e+01, 2.147000e-09, -3.788000e-10, 5.848080e-19, 6.345700e-19, -5.692320e-21, -1.732302e+02, 2.180160e-09, 7.669799e-10, -1.746350e-01, 3.643909e-01, -2.275223e-02 
8.670000e+01, 2.063000e-09, -2.723000e-10, 6.826230e-19, 7.053390e-19, -2.099480e-21, -1.736350e+02, 2.080893e-09, 8.267749e-10, -1.312336e-01, 4.033309e-01, -7.168976e-03 
8.680000e+01, 2.034000e-09, -4.790000e-10, 7.325980e-19, 7.011480e-19, -1.265230e-20, -1.735986e+02, 2.089640e-09, 8.582491e-10, -2.312825e-01, 3.995701e-01, -6.008188e-03 
8.690000e+01, 1.970000e-09, -4.385000e-10, 6.639610e-19, 6.517900e-19, 1.150450e-20, -1.739007e+02, 2.018213e-09, 8.114842e-10, -2.190183e-01, 4.016951e-01, 1.975991e-02 
8.700000e+01, 1.892000e-09, -4.150000e-10, 6.807130e-19, 7.527030e-19, 4.088710e-20, -1.742575e+02, 1.936979e-09, 8.166420e-10, -2.159251e-01, 4.519958e-01, 3.086484e-02 
8.710000e+01, 2.007000e-09, -4.119000e-10, 6.995930e-19, 7.336280e-19, 1.092170e-20, -1.737699e+02, 2.048832e-09, 8.346657e-10, -2.024209e-01, 4.188862e-01, 4.657192e-03 
8.720000e+01, 1.976000e-09, -3.980000e-10, 8.269230e-19, 7.759870e-19, 6.213480e-20, -1.739116e+02, 2.015684e-09, 8.949207e-10, -1.987577e-01, 4.442957e-01, 8.378423e-02 
8.730000e+01, 2.043000e-09, -5.035000e-10, 6.287070e-19, 6.363800e-19, -1.279380e-20, -1.735386e+02, 2.104130e-09, 7.969262e-10, -2.416359e-01, 3.772214e-01, -2.072821e-02 
8.740000e+01, 1.917000e-09, -6.764000e-10, 6.583570e-19, 6.873340e-19, 1.757740e-20, -1.738380e+02, 2.032832e-09, 8.065571e-10, -3.392053e-01, 4.101473e-01, 6.829849e-03 
8.750000e+01, 1.819000e-09, -3.719000e-10, 5.933140e-19, 6.107600e-19, -2.938870e-22, -1.746255e+02, 1.856629e-09, 7.707979e-10, -2.016736e-01, 4.206493e-01, -6.136486e-03 
8.760000e+01, 2.169000e-09, -3.777000e-10, 6.850080e-19, 7.341340e-19, -6.765420e-21, -1.731451e+02, 2.201640e-09, 8.299040e-10, -1.724068e-01, 3.881812e-01, -2.068340e-02 
8.770000e+01, 2.017000e-09, -6.381000e-10, 6.127300e-19, 6.192930e-19, -1.154680e-20, -1.734916e+02, 2.115528e-09, 7.873807e-10, -3.063984e-01, 3.698079e-01, -1.839801e-02 
8.780000e+01, 1.881000e-09, -5.697000e-10, 6.291830e-19, 6.333000e-19, -3.741580e-21, -1.741311e+02, 1.965380e-09, 7.947358e-10, -2.940885e-01, 4.041347e-01, -6.740638e-03 
8.790000e+01, 1.808000e-09, -5.989000e-10, 7.044600e-19, 7.100610e-19, 3.826120e-20, -1.744039e+02, 1.904612e-09, 8.259371e-10, -3.198744e-01, 4.493167e-01, 4.106165e-02 
8.800000e+01, 1.962000e-09, -5.041000e-10, 6.796060e-19, 7.088420e-19, 1.025260e-20, -1.738684e+02, 2.025725e-09, 8.224806e-10, -2.514919e-01, 4.165350e-01, 2.790080e-03 
8.810000e+01, 1.950000e-09, -5.275000e-10, 6.587270e-19, 6.524440e-19, 6.818980e-21, -1.738926e+02, 2.020088e-09, 8.092348e-10, -2.641897e-01, 4.010368e-01, 1.139864e-02 
8.820000e+01, 1.912000e-09, -5.406000e-10, 7.031130e-19, 7.286280e-19, 1.063280e-20, -1.740362e+02, 1.986956e-09, 8.363218e-10, -2.755482e-01, 4.306837e-01, 3.323432e-03 
8.830000e+01, 1.919000e-09, -4.421000e-10, 7.352840e-19, 7.554400e-19, -2.770920e-20, -1.741139e+02, 1.969267e-09, 8.651149e-10, -2.264297e-01, 4.375072e-01, -3.934446e-02 
8.840000e+01, 1.946000e-09, -5.007000e-10, 7.910480e-19, 7.818310e-19, -6.384450e-21, -1.739387e+02, 2.009382e-09, 8.908182e-10, -2.518346e-01, 4.393351e-01, -4.281950e-03 
8.850000e+01, 1.960000e-09, -3.056000e-10, 7.008320e-19, 7.116820e-19, 9.304680e-21, -1.740506e+02, 1.983681e-09, 8.356176e-10, -1.546730e-01, 4.260449e-01, 1.021146e-02 
8.860000e+01, 2.239000e-09, -4.334000e-10, 7.908210e-19, 7.651950e-19, 1.014410e-20, -1.728392e+02, 2.280561e-09, 8.866285e-10, -1.912039e-01, 3.847487e-01, 1.824324e-02 
8.870000e+01, 2.043000e-09, -6.105000e-10, 7.348690e-19, 6.963880e-19, 8.101740e-21, -1.734232e+02, 2.132266e-09, 8.528009e-10, -2.903787e-01, 3.934967e-01, 2.421951e-02 
8.880000e+01, 1.851000e-09, -6.101000e-10, 6.508270e-19, 6.659940e-19, 5.054700e-21, -1.742040e+02, 1.948954e-09, 8.057963e-10, -3.183919e-01, 4.192068e-01, -6.762438e-04 
8.890000e+01, 1.882000e-09, -4.442000e-10, 6.271140e-19, 6.521080e-19, 3.899820e-21, -1.742722e+02, 1.933711e-09, 7.916370e-10, -2.317836e-01, 4.177435e-01, -3.283421e-03 
8.900000e+01, 1.781000e-09, -5.847000e-10, 6.581130e-19, 7.388620e-19, 2.765600e-20, -1.745422e+02, 1.874523e-09, 8.059636e-10, -3.172126e-01, 4.611957e-01, -2.376766e-03 
8.910000e+01, 1.947000e-09, -3.304000e-10, 7.558140e-19, 7.692630e-19, 5.179350e-20, -1.740894e+02, 1.974835e-09, 8.597116e-10, -1.680956e-01, 4.489242e-01, 6.123977e-02 
8.920000e+01, 1.900000e-09, -4.617000e-10, 6.816880e-19, 7.056530e-19, -2.922380e-21, -1.741758e+02, 1.955292e-09, 8.272637e-10, -2.383797e-01, 4.288037e-01, -1.167128e-02 
