Frequenzen /MHz, Realteil V/Pa,Imagteil / (V/Pa) , Var (k=1) real / (V/Pa)^2, var k=1 imag / (V/Pa)^2, korrelation / (V/Pa)^2, Amplitude |M| / dB re 1V/Pa, Amplitude M / (V/Pa) , uns (k=1) / V/Pa, phase arg(M) / rad, uns k=1 /rad, korrelation [-1...1] 
4.180000e+01, 5.736035e-09, -1.266600e-09, 1.792426e-19, 1.707800e-19, -1.010708e-20, -1.646210e+02, 5.874213e-09, 4.279080e-10, -2.173271e-01, 6.955064e-02, -4.224530e-02 
4.190000e+01, 5.831825e-09, -1.139555e-09, 2.009005e-19, 2.075451e-19, -1.637032e-20, -1.645212e+02, 5.942118e-09, 4.553100e-10, -1.929713e-01, 7.547554e-02, -8.039592e-02 
4.200000e+01, 6.015430e-09, -1.140801e-09, 1.836688e-19, 1.891854e-19, -9.414169e-21, -1.642612e+02, 6.122649e-09, 4.327899e-10, -1.874201e-01, 7.035384e-02, -5.240920e-02 
4.210000e+01, 5.932896e-09, -1.287246e-09, 1.850929e-19, 2.089464e-19, 6.235733e-21, -1.643349e+02, 6.070935e-09, 4.284636e-10, -2.136560e-01, 7.556616e-02, 3.725456e-03 
4.220000e+01, 5.704761e-09, -1.449666e-09, 1.824914e-19, 1.933927e-19, 1.621264e-21, -1.646035e+02, 5.886071e-09, 4.270581e-10, -2.488479e-01, 7.473450e-02, -6.268361e-03 
4.230000e+01, 5.988164e-09, -1.439847e-09, 1.982998e-19, 2.041604e-19, 1.142721e-21, -1.642100e+02, 6.158837e-09, 4.450850e-10, -2.359693e-01, 7.340047e-02, -1.562313e-03 
4.240000e+01, 5.814369e-09, -1.317600e-09, 1.866655e-19, 2.320817e-19, -9.081503e-21, -1.644925e+02, 5.961791e-09, 4.390885e-10, -2.228473e-01, 7.973113e-02, -8.616213e-02 
4.250000e+01, 5.885343e-09, -1.195897e-09, 1.929224e-19, 2.111048e-19, 8.882683e-21, -1.644288e+02, 6.005617e-09, 4.360924e-10, -2.004698e-01, 7.700122e-02, 2.295915e-02 
4.260000e+01, 5.767602e-09, -1.412471e-09, 2.005076e-19, 1.920677e-19, 1.162721e-21, -1.645271e+02, 5.938039e-09, 4.466462e-10, -2.401705e-01, 7.399944e-02, 1.518946e-02 
4.270000e+01, 5.607696e-09, -1.476855e-09, 1.854170e-19, 1.783095e-19, -3.066797e-21, -1.647331e+02, 5.798910e-09, 4.318178e-10, -2.575148e-01, 7.260373e-02, -5.052279e-03 
4.280000e+01, 6.030704e-09, -1.630474e-09, 2.031954e-19, 1.929087e-19, -7.919379e-21, -1.640863e+02, 6.247226e-09, 4.544064e-10, -2.640493e-01, 6.970333e-02, -2.147244e-02 
4.290000e+01, 5.988192e-09, -1.214527e-09, 1.979362e-19, 1.904142e-19, 5.289640e-21, -1.642790e+02, 6.110116e-09, 4.422421e-10, -2.001059e-01, 7.185763e-02, 3.263623e-02 
4.300000e+01, 5.911336e-09, -1.612687e-09, 1.955607e-19, 2.202902e-19, -1.743799e-20, -1.642545e+02, 6.127369e-09, 4.540146e-10, -2.663315e-01, 7.473905e-02, -1.024505e-01 
4.310000e+01, 6.044631e-09, -1.503115e-09, 1.986442e-19, 2.011800e-19, -1.374789e-20, -1.641120e+02, 6.228717e-09, 4.530243e-10, -2.437260e-01, 7.082150e-02, -6.375316e-02 
4.320000e+01, 5.836778e-09, -1.513090e-09, 1.835726e-19, 2.004395e-19, -4.323773e-22, -1.643941e+02, 6.029711e-09, 4.299358e-10, -2.536502e-01, 7.401377e-02, -2.332308e-02 
4.330000e+01, 5.952863e-09, -1.494404e-09, 1.831948e-19, 2.046266e-19, -6.310612e-21, -1.642401e+02, 6.137575e-09, 4.329503e-10, -2.459568e-01, 7.293323e-02, -5.481667e-02 
4.340000e+01, 5.839219e-09, -1.538340e-09, 1.977440e-19, 2.020105e-19, 4.687085e-21, -1.643815e+02, 6.038457e-09, 4.423930e-10, -2.575965e-01, 7.480571e-02, 1.515075e-02 
4.350000e+01, 5.813330e-09, -1.883095e-09, 2.113871e-19, 2.013405e-19, -1.635358e-20, -1.642782e+02, 6.110716e-09, 4.690646e-10, -3.132612e-01, 7.183820e-02, -5.003246e-02 
